"","id","genero","percepseg","victima","confianzacom","confianzapol"
"648",5369,2,3,2,3,7
"649",9794,1,1,1,3,1
"650",8505,1,3,1,3,5
"651",8671,1,2,2,3,7
"652",3293,1,2,1,2,1
"653",8467,1,4,1,2,4
"654",9947,1,2,2,3,7
"655",8175,1,2,1,1,2
"656",1358,2,3,2,3,1
"657",7049,1,2,2,1,4
"658",1757,2,2,NA,3,NA
"659",6169,2,4,2,4,NA
"660",1962,1,3,1,3,3
"661",2539,2,3,1,4,6
"662",3777,1,4,1,1,1
"663",3009,2,4,2,4,1
"664",7867,2,1,2,1,7
"665",2106,2,2,2,3,1
"666",8483,1,2,2,3,1
"667",1015,1,2,2,1,1
"668",1423,1,2,1,1,1
"669",5813,2,2,2,2,2
"670",9202,2,2,2,3,1
"671",8407,2,2,2,3,2
"672",3067,2,1,2,1,1
"673",9513,1,1,2,3,1
"674",8753,1,3,1,3,1
"675",8261,2,1,2,3,5
"676",297,2,1,2,1,1
"677",1796,1,4,2,4,2
"678",5156,2,4,2,2,5
"679",1275,1,2,2,3,3
"680",5679,2,3,1,3,4
"681",565,1,3,1,2,2
"682",9577,2,2,2,2,5
"683",3552,1,2,2,2,3
"684",363,1,2,1,2,4
"685",906,1,1,2,3,1
"686",1271,1,2,1,1,5
"687",9544,2,4,1,3,6
"688",5483,1,1,2,1,5
"689",6784,2,3,2,3,7
"690",2717,2,2,2,2,4
"691",3744,1,3,1,4,2
"692",8815,2,3,2,2,3
"693",8436,2,2,1,3,4
"694",6420,1,2,2,2,6
"695",3963,2,2,2,3,2
"696",3529,2,2,1,2,5
"697",6380,2,3,1,4,6
"698",6655,2,2,2,2,5
"699",8356,1,3,2,2,2
"700",8063,2,3,2,2,2
"701",6645,2,2,1,2,2
"702",3556,1,3,1,3,1
"703",4176,1,2,2,2,2
"704",5144,1,2,2,2,2
"705",4065,1,1,2,2,5
"706",6045,2,2,1,2,1
"707",8070,1,2,2,3,5
"708",4402,2,2,2,2,5
"709",3597,1,3,2,2,1
"710",6843,2,4,2,3,3
"711",5358,2,3,1,4,1
"712",9781,1,3,1,2,1
"713",648,1,4,1,2,1
"714",9241,1,4,1,4,4
"715",8869,2,3,1,4,1
"716",3120,1,3,2,4,3
"717",8926,2,3,2,3,6
"718",9335,2,3,2,3,3
"719",7381,2,3,2,4,4
"720",3170,1,2,2,3,1
"721",6145,2,3,2,2,6
"722",2661,1,3,1,3,4
"723",2485,1,4,2,3,1
"724",6955,1,3,2,1,5
"725",9700,1,3,1,3,1
"726",4034,2,2,1,3,6
"727",4328,1,3,2,3,4
"728",7995,2,3,2,3,7
"729",2573,2,1,2,2,4
"730",351,1,4,1,2,5
"731",7036,2,3,2,3,6
"732",9649,2,3,2,3,4
"733",19,1,2,2,2,1
"734",8849,1,2,2,2,4
"735",2819,1,2,2,1,1
"736",6360,1,2,2,2,1
"737",1248,2,2,2,3,1
"738",3241,2,1,2,3,3
"739",4099,2,2,2,2,1
"740",3239,2,1,2,3,1
"741",2608,2,1,2,3,7
"742",8970,2,2,2,2,5
"743",1611,2,2,2,4,1
"744",4133,2,4,2,1,1
"745",559,1,3,2,3,1
"746",4754,1,2,2,3,1
"747",6965,2,2,2,4,1
"748",2581,1,3,2,3,2
"749",1551,1,2,2,2,1
"750",1102,1,2,2,2,2
"751",3972,1,2,1,4,3
"752",2135,2,3,1,4,3
"753",6300,1,2,2,2,6
"754",5617,1,2,2,1,4
"755",2182,1,2,1,3,5
"756",4909,2,2,1,3,6
